Customer_ID,Churn,Age,Gender,Income,Contract_Length,Plan_Type,Monthly_Charges,Call_Minutes,Data_Usage,Text_Messages,Roaming_Usage,Service_Calls,Payment_Method,Late_Payments,Satisfaction_Rating,Complaints,Contract_End_Date,Auto_Renewal,Data_Plan_Price,Contract_Changes,Device_Type
1,false,68,Female,8,65,postpaid,59,66,96,27,25,22,credit card,36,5,85,3/23/2025,true,90,35,smartphone
2,true,21,Male,55,38,prepaid,56,53,68,85,70,82,debit card,43,2,5,1/29/2025,true,33,19,smartphone
3,false,29,Male,5,9,postpaid,91,84,89,61,67,53,bank transfer,28,2,64,11/28/2022,false,87,2,feature phone
4,false,37,Female,15,90,postpaid,89,54,17,37,58,31,credit card,5,4,98,3/7/2025,true,34,78,smartphone
5,true,81,Female,64,25,prepaid,15,73,94,21,35,86,bank transfer,18,4,39,12/10/2023,false,85,55,feature phone
6,false,58,Agender,2,19,prepaid,32,6,83,86,39,29,debit card,11,1,25,3/10/2022,true,24,31,feature phone
7,true,22,Male,33,90,prepaid,47,60,65,64,99,5,debit card,5,3,54,11/28/2025,true,61,57,smartphone
8,true,80,Male,32,87,postpaid,15,36,37,58,25,63,bank transfer,81,5,95,2/26/2024,true,40,25,tablet
9,false,37,Male,34,89,prepaid,32,54,98,39,56,24,bank transfer,3,3,89,8/26/2025,false,28,38,feature phone
10,false,28,Male,12,54,postpaid,63,30,79,31,84,8,credit card,100,1,59,12/12/2022,false,35,27,feature phone
11,true,28,Female,57,85,prepaid,69,60,27,95,9,52,debit card,62,5,3,7/16/2024,true,30,96,feature phone
12,true,77,Female,75,80,prepaid,67,16,96,1,18,14,debit card,80,1,26,6/4/2022,false,67,77,feature phone
13,false,78,Female,98,29,prepaid,63,49,56,65,59,9,debit card,38,2,8,9/19/2023,true,45,34,feature phone
14,false,29,Male,9,47,prepaid,62,60,83,5,43,56,credit card,20,3,60,6/11/2024,true,83,87,feature phone
15,true,65,Female,67,61,prepaid,38,3,62,38,50,5,credit card,88,2,12,7/15/2023,false,32,2,tablet
16,true,47,Female,30,63,prepaid,98,6,29,30,65,73,credit card,86,5,73,8/11/2023,true,79,37,tablet
17,false,62,Male,1,86,postpaid,5,48,63,62,23,45,bank transfer,56,2,81,11/12/2024,false,12,45,tablet
18,false,82,Agender,85,5,postpaid,51,89,38,10,70,61,debit card,73,3,58,11/8/2022,false,12,82,tablet
19,true,30,Male,5,21,prepaid,22,36,77,76,1,43,credit card,46,5,10,11/17/2024,false,61,81,smartphone
20,false,31,Female,35,52,prepaid,7,15,65,9,26,79,credit card,16,5,18,8/9/2024,true,16,21,smartphone
21,false,79,Female,77,18,postpaid,98,96,100,53,50,57,debit card,89,4,14,3/20/2023,false,69,73,tablet
22,false,41,Female,41,31,postpaid,86,35,27,93,1,58,bank transfer,81,4,37,12/13/2023,true,86,65,tablet
23,false,56,Female,74,36,prepaid,49,59,71,48,64,47,credit card,67,4,30,7/6/2023,false,92,34,tablet
24,true,46,Male,53,5,prepaid,1,84,88,70,49,69,bank transfer,14,4,90,12/1/2022,true,74,56,tablet
25,true,68,Male,77,44,prepaid,8,34,10,41,29,10,bank transfer,64,3,87,1/13/2025,false,23,82,smartphone
26,true,77,Male,64,70,prepaid,41,15,50,81,63,66,credit card,57,1,65,2/9/2024,true,68,98,feature phone
27,false,53,Male,61,4,postpaid,52,65,57,79,13,59,credit card,12,5,43,3/4/2024,true,12,84,tablet
28,false,44,Genderqueer,60,78,postpaid,79,50,60,27,30,7,debit card,28,4,80,10/9/2023,true,14,75,smartphone
29,false,80,Male,97,35,prepaid,78,32,30,39,18,5,debit card,36,2,86,4/20/2024,true,19,39,tablet
30,false,70,Male,7,16,prepaid,92,80,49,22,54,56,debit card,19,1,15,1/16/2024,false,41,25,tablet
31,false,82,Male,8,51,postpaid,17,72,13,8,65,66,credit card,57,1,68,8/22/2024,true,40,47,feature phone
32,false,23,Male,82,43,postpaid,36,81,14,56,25,11,credit card,79,1,88,8/22/2025,true,18,53,smartphone
33,true,65,Male,54,69,postpaid,71,60,28,9,38,86,credit card,54,5,61,7/1/2023,true,43,7,feature phone
34,true,64,Female,32,32,postpaid,12,66,14,61,97,34,bank transfer,79,2,76,1/21/2025,true,77,21,feature phone
35,false,71,Male,13,10,prepaid,65,81,82,20,20,16,bank transfer,48,5,64,4/2/2024,false,28,46,smartphone
36,false,76,Male,86,28,prepaid,87,64,40,82,70,51,bank transfer,18,1,78,2/8/2023,true,59,81,smartphone
37,false,23,Polygender,78,82,prepaid,69,39,79,19,42,94,debit card,28,1,69,5/20/2024,false,14,15,tablet
38,false,60,Male,17,1,prepaid,73,34,48,78,93,35,bank transfer,25,4,55,10/4/2022,false,36,23,feature phone
39,true,60,Male,55,66,prepaid,44,83,47,61,74,67,bank transfer,49,3,36,10/30/2024,true,84,61,tablet
40,false,44,Female,79,18,prepaid,88,24,18,8,18,99,credit card,99,1,86,7/21/2024,true,41,52,smartphone
41,false,78,Male,58,40,postpaid,81,69,72,4,52,43,debit card,92,4,23,6/8/2024,false,2,29,smartphone
42,false,60,Male,39,71,postpaid,89,31,58,94,90,97,bank transfer,65,5,67,8/2/2023,false,68,1,smartphone
43,false,52,Female,60,86,postpaid,96,24,40,24,10,25,debit card,75,2,91,11/11/2024,true,37,76,feature phone
44,true,58,Female,75,11,postpaid,79,99,40,88,21,45,credit card,96,4,63,9/19/2022,false,45,89,tablet
45,false,79,Genderqueer,64,60,postpaid,46,23,40,5,6,65,credit card,90,2,13,3/12/2023,true,13,68,tablet
46,false,41,Male,70,94,prepaid,73,38,70,84,89,64,credit card,42,2,94,4/3/2024,false,66,10,feature phone
47,false,63,Male,76,72,prepaid,9,29,68,60,46,25,bank transfer,19,3,82,3/14/2022,true,17,92,tablet
48,false,85,Female,7,11,postpaid,96,43,36,100,34,18,bank transfer,32,4,40,2/2/2025,true,90,9,tablet
49,true,64,Female,27,2,prepaid,4,34,37,100,80,81,debit card,42,2,91,7/10/2024,false,63,25,smartphone
50,true,34,Male,42,43,prepaid,46,5,79,58,14,92,bank transfer,82,2,92,6/10/2022,false,19,18,feature phone
51,false,66,Male,90,30,prepaid,26,73,51,56,99,31,debit card,36,2,96,1/25/2023,true,64,27,tablet
52,false,25,Male,60,48,postpaid,5,34,39,84,82,2,credit card,88,3,40,12/18/2025,true,20,48,tablet
53,false,84,Female,14,78,prepaid,10,20,70,84,76,32,debit card,39,1,46,4/28/2024,false,85,95,tablet
54,false,66,Female,94,22,postpaid,13,75,83,1,68,76,credit card,51,3,74,9/9/2025,false,43,82,smartphone
55,true,48,Male,78,65,postpaid,97,52,17,77,64,30,credit card,55,4,12,10/25/2024,false,25,60,smartphone
56,false,71,Female,88,16,prepaid,63,93,13,25,81,86,bank transfer,90,2,33,6/1/2024,false,64,56,feature phone
57,false,78,Male,57,26,postpaid,30,97,52,93,39,7,bank transfer,43,5,19,7/29/2025,true,55,15,smartphone
58,false,35,Female,4,95,postpaid,51,99,72,67,76,18,credit card,65,1,45,10/27/2023,false,99,94,smartphone
59,true,32,Non-binary,42,81,postpaid,38,40,34,84,63,4,credit card,40,2,39,8/15/2024,false,67,1,tablet
60,true,82,Agender,69,17,prepaid,65,8,76,86,71,15,bank transfer,70,1,82,3/29/2022,false,99,1,tablet
61,false,59,Male,62,36,postpaid,27,8,44,98,17,21,debit card,93,5,57,2/5/2025,false,94,39,smartphone
62,false,38,Male,43,94,prepaid,86,4,92,36,30,64,bank transfer,35,2,79,6/8/2024,false,87,7,smartphone
63,true,26,Female,79,74,postpaid,100,75,21,15,95,64,bank transfer,36,1,93,3/2/2025,false,51,45,tablet
64,true,30,Polygender,29,100,postpaid,51,58,5,91,98,90,bank transfer,80,4,68,3/20/2025,true,1,49,feature phone
65,true,53,Genderfluid,19,64,postpaid,15,24,16,53,82,32,debit card,41,4,49,4/26/2025,true,83,6,smartphone
66,true,66,Male,94,77,postpaid,59,32,74,82,100,74,credit card,62,5,77,11/4/2023,true,68,13,smartphone
67,true,20,Female,48,4,prepaid,75,75,20,18,77,69,bank transfer,79,2,57,7/21/2023,false,52,32,feature phone
68,false,21,Female,89,6,postpaid,4,12,50,91,48,95,bank transfer,52,5,92,4/20/2025,false,45,43,smartphone
69,false,75,Male,15,47,postpaid,17,35,28,4,95,17,bank transfer,23,2,6,12/11/2023,true,90,71,smartphone
70,false,42,Male,10,46,prepaid,11,54,62,12,76,37,bank transfer,57,5,24,7/25/2025,true,91,13,tablet
71,false,27,Female,5,11,postpaid,15,94,37,19,88,91,debit card,75,1,94,11/10/2024,false,32,51,smartphone
72,true,44,Female,88,91,postpaid,10,74,48,49,88,13,debit card,3,1,75,1/22/2023,false,2,92,feature phone
73,false,19,Genderqueer,8,16,prepaid,19,20,27,27,92,28,debit card,74,3,39,8/24/2023,false,41,76,feature phone
74,false,31,Male,8,17,prepaid,78,41,31,71,20,91,credit card,37,5,67,4/10/2024,true,96,79,tablet
